kanji,components,component_ids,radical,stroke_count,onyomi,onyomi_all,kunyomi,meaning,pinyin,pinyin_initial,pinyin_final,pinyin_tone,nasal_coda,jlpt_level
瘋,"[""广"", ""虫"", ""風""]","[1420, 4680, 5947]",病-丙,14,フウ,"[""フウ""]",,頭痛、精神病,fēng,f,eng,1,ng,N1+
瘍,"[""广"", ""日"", ""勹"", ""勿"", ""昜""]","[1420, 2122, 496, 499, 2142]",病-丙,14,ヨウ,"[""ヨウ""]",,瘡（かさ、頭にできる腫れ物）,yáng,y,ang,2,ng,N1+
瘉,"[""广"", ""月"", ""兪""]","[1420, 2225, 324]",病-丙,14,ユ,"[""ユ""]",,癒える、病む,yù,y,u,4,none,N1+
瘟,"[""广"", ""囗"", ""人"", ""囚"", ""皿""]","[1420, 816, 83, 818, 3450]",病-丙,15,オン,"[""オン""]",,疫病,wēn,w,en,1,n,N1+
瘧,"[""广"", ""七"", ""虍"", ""虐""]","[1420, 2, 4670, 4672]",病-丙,15,ギャク,"[""ギャク""]",,ひきつけ,nüè,n,üe,4,none,N1+
瘠,"[""广"", ""二"", ""人"", ""月"", ""脊""]","[1420, 57, 83, 2225, 4265]",病-丙,15,ジャク,"[""ジャク"", ""セキ""]",,身体が細くなる,jí,j,i,2,none,N1+
瘡,"[""广"", ""口"", ""倉""]","[1420, 593, 206]",病-丙,15,ソウ,"[""ソウ""]",かさ,身体にできるできもの、傷,chuāng,ch,uang,1,ng,N1+
瘢,"[""广"", ""舟"", ""几"", ""又"", ""殳"", ""般""]","[1420, 4362, 380, 578, 2649, 4366]",病-丙,15,ハン,"[""ハン""]",,傷痕（きずあと）,bān,b,an,1,n,N1+
瘤,"[""广"", ""刀"", ""田"", ""留""]","[1420, 396, 3303, 3322]",病-丙,15,リュウ,"[""リュウ""]",こぶ,身体にできる突起物,liú,l,iu,2,none,N1+
瘴,"[""广"", ""立"", ""日"", ""十"", ""早"", ""章""]","[1420, 3738, 2122, 527, 2126, 3749]",病-丙,16,ショウ,"[""ショウ""]",,風土病,zhàng,zh,ang,4,ng,N1+
瘰,"[""广"", ""田"", ""幺"", ""小"", ""糸"", ""累""]","[1420, 3303, 1415, 1230, 3930, 3957]",病-丙,16,ルイ,"[""ルイ""]",,,luǒ,l,uo,3,none,N1+
瘻,"[""广"", ""口"", ""女"", ""婁""]","[1420, 593, 1028, 1085]",病-丙,16,ル,"[""ル"", ""ロウ""]",,首にできるでき物、せむし,lòu,l,ou,4,none,N1+
癇,"[""广"", ""門"", ""月""]","[1420, 5689, 2225]",病-丙,17,カン,"[""カン"", ""ゲン""]",,引き付け,xián,x,ian,2,n,N1+
癈,"[""广"", ""癶"", ""弓"", ""几"", ""又"", ""殳"", ""發""]","[1420, 3423, 1485, 380, 578, 2649, 3427]",病-丙,17,ハイ,"[""ハイ""]",,不治の病,fèi,f,ei,4,none,N1+
癆,"[""广"", ""人"", ""火"", ""冖"", ""力"", ""勞""]","[1420, 83, 3012, 349, 457, 484]",病-丙,17,ロウ,"[""ロウ""]",,体力を使い果たして衰弱する,láo,l,ao,2,none,N1+
癜,"[""广"", ""尸"", ""展"", ""几"", ""又"", ""殳"", ""殿""]","[1420, 1241, 1262, 380, 578, 2649, 2656]",病-丙,18,デン,"[""デン"", ""テン""]",,なます（斑ができる皮膚病）,diàn,d,ian,4,n,N1+
癘,"[""广"", ""日"", ""禺"", ""萬""]","[1420, 2122, 3647, 4522]",病-丙,17,レイ,"[""レイ""]",,えやみ（疫病）、悪性のおできができる病気,lì,l,i,4,none,N1+
癡,"[""广"", ""匕"", ""大"", ""矢"", ""疋"", ""疑""]","[1420, 508, 994, 3530, 3349, 3352]",病-丙,19,チ,"[""チ""]",,愚か,chī,ch,i,1,none,N1+
癢,"[""广"", ""良"", ""養""]","[1420, 4388, 5972]",病-丙,20,ヨウ,"[""ヨウ""]",,痒い,yǎng,y,ang,3,ng,N1+
癨,"[""广"", ""雨"", ""霍""]","[1420, 5816, 5831]",病-丙,21,カク,"[""カク""]",,暑気当りのひどい吐き出し,huò,h,uo,4,none,N1+
癩,"[""广"", ""木"", ""束"", ""刀"", ""目"", ""貝""]","[1420, 2240, 2266, 396, 3470, 5126]",病-丙,21,ライ,"[""ライ""]",,病気の名,lài,l,ai,4,none,N1+
癪,"[""广"", ""千"", ""木"", ""禾"", ""目"", ""貝"", ""責"", ""積""]","[1420, 528, 2240, 3649, 3470, 5126, 5136, 3696]",病-丙,21,,[],しゃく,さしこみ（病気の一）,jī,j,i,1,none,N1+
癧,"[""广"", ""厂"", ""千"", ""木"", ""禾"", ""止""]","[1420, 559, 528, 2240, 3649, 2618]",病-丙,21,レキ,"[""レキ""]",,,lì,l,i,4,none,N1+
癬,"[""广"", ""田"", ""魚"", ""羊"", ""鮮""]","[1420, 3303, 6114, 4134, 6130]",病-丙,22,セン,"[""セン""]",,かさ、たむし（皮膚病）,xuǎn,x,uan,3,n,N1+
癰,"[""广"", ""巛"", ""口"", ""巴"", ""邑"", ""隹""]","[1420, 1352, 593, 1366, 5456, 5794]",病-丙,23,ヨウ,"[""ヨウ""]",,腫れ物,yōng,y,ong,1,ng,N1+
癲,"[""广"", ""匕"", ""目"", ""眞"", ""貝"", ""頁""]","[1420, 508, 3470, 3484, 5126, 5905]",病-丙,24,テン,"[""テン""]",,気が狂った人,diān,d,ian,1,n,N1+
癶,[],[],癶,4,,[],はつがしら,,bō,b,o,1,none,N1+
癸,"[""癶"", ""大"", ""天""]","[3423, 994, 995]",癶,9,キ,"[""キ""]",みずのと,,guǐ,g,ui,3,none,N1+
發,"[""癶"", ""弓"", ""几"", ""又"", ""殳""]","[3423, 1485, 380, 578, 2649]",癶,12,ハツ,"[""ハツ"", ""ホツ""]",あば・く,明るみに出す、放つ、起る,fā,f,a,1,none,N1+
皀,"[""白"", ""匕""]","[3428, 508]",白,7,キュウ,"[""キュウ"", ""ヒュウ""]",,穀物のよい香り,jí,j,i,2,none,N1+
皃,"[""白"", ""儿""]","[3428, 301]",白,7,ボウ,"[""ボウ"", ""ミョウ""]",,,mào,m,ao,4,none,N1+
